season,team,number,player,year,position,gp,gs,goals,assists,points
2025-26,Alberta,13,Nicholas Lechelt,3rd,M,12,5,0,2,2
2025-26,Alberta,26,Harkirat Malhi,4th,D,12,11,0,2,2
2025-26,Alberta,2,Dylan Marple,3rd,D,12,10,0,0,0
2025-26,Alberta,21,Trystan Read,1st,GK,12,12,0,0,0
2025-26,Alberta,5,Patrick Kondraciuk,3rd,D,11,11,1,1,2
2025-26,Alberta,9,Caden Ruby,2nd,F,11,10,1,2,3
2025-26,Alberta,10,Habib Assem,4th,F,10,10,3,1,4
2025-26,Alberta,17,Frankroy Cain,3rd,F,10,9,3,2,5
2025-26,Alberta,15,Justin George,2nd,M,9,4,1,1,2
2025-26,Alberta,16,Anson Minty,1st,F,9,1,1,0,1
2025-26,Alberta,24,Jack Ferraro,1st,M,8,1,1,0,1
2025-26,Alberta,4,Jivan Aulakh,3rd,M,5,-,0,0,0
2025-26,Alberta,12,Tyson Blight,1st,D,4,-,0,0,0
2025-26,Alberta,19,Declan Lindeman,1st,D,3,-,0,0,0
2025-26,Alberta,20,Ruben Miranda,1st,M,1,-,0,0,0
2025-26,Lethbridge,19,Nicholas Bilodeau,,Def,12,11,0,1,1
2025-26,Lethbridge,14,Xander McIntyre,,Mid,12,7,0,2,2
2025-26,Lethbridge,9,Simon Rolfson,,Fwd,12,11,1,3,4
2025-26,Lethbridge,1,Tegan Romaine,,G,12,12,0,0,0
2025-26,Lethbridge,20,Kai Sakaguchi,,Fwd,12,12,6,1,7
2025-26,Lethbridge,3,Kyle Boell,,Def,11,11,0,0,0
2025-26,Lethbridge,18,Jose Castaneda,,Def,11,11,0,0,0
2025-26,Lethbridge,11,Ben Gingras,,Mid,11,10,2,1,3
2025-26,Lethbridge,8,Will Hughes,,Def,11,10,2,0,2
2025-26,Lethbridge,5,Micaiah Leach,,Def,11,11,0,1,1
2025-26,Lethbridge,13,Bronson Schlichter,,Fwd,10,10,0,0,0
2025-26,Lethbridge,10,Karim Bey,,Mid,9,9,2,0,2
2025-26,Lethbridge,16,Micah McCusker,,Def,9,2,0,0,0
2025-26,Lethbridge,7,Samuel Okawa,,Fwd,9,1,2,0,2
2025-26,Lethbridge,15,Demi Ajayi,,Def,7,-,0,0,0
2025-26,Lethbridge,17,Joel Jaravata,,Mid,7,1,0,0,0
2025-26,Lethbridge,27,Leo Kadezabek,,Fwd,6,-,1,0,1
2025-26,Lethbridge,25,Carson Moore,,Mid,6,-,0,0,0
2025-26,Lethbridge,12,Ziad El Hasumi,,Def,4,1,1,0,1
2025-26,Lethbridge,24,Marcus Main,,Def,3,1,0,0,0
2025-26,Lethbridge,23,Tyrell Cook,,Fwd,2,-,0,0,0
2025-26,Lethbridge,6,Alex Loturi,,Mid,1,-,0,0,0
2025-26,Lethbridge,33,Owen Shum,,G,1,-,0,0,0
2025-26,Trinity Western,14,Marcel Bona,,MID,13,8,0,1,1
2025-26,Trinity Western,9,Emmanuel Dan-Adokiene,,FOR,13,12,6,0,6
2025-26,Trinity Western,5,Adam Hajdecki,,DEF,13,13,0,2,2
2025-26,Trinity Western,22,Francis Powell,,MID,13,13,3,1,4
2025-26,Trinity Western,24,Grant Verhoeven,,MID,13,12,0,0,0
2025-26,Trinity Western,11,Charles Nana,,FOR,12,11,3,3,6
2025-26,Trinity Western,27,Kieran Eve,,MID,11,11,0,1,1
2025-26,Trinity Western,8,JJ Janzen,,MID,11,7,1,0,1
2025-26,Trinity Western,31,Garreth Rayner,,MID,11,3,0,0,0
2025-26,Trinity Western,2,Kosta Adzic,,DEF,10,2,0,0,0
2025-26,Trinity Western,7,Gabriel Moore,,DEF,10,10,0,1,1
2025-26,Trinity Western,3,Aiden Evans,,DEF,9,6,0,2,2
2025-26,Trinity Western,18,Jace Wiebe,,FOR,8,8,2,0,2
2025-26,Trinity Western,23,Marc Huizenga,,FOR,7,-,0,1,1
2025-26,Trinity Western,29,Peter Rogenthien,,GK,7,7,0,0,0
2025-26,Trinity Western,36,David Saavedra,,FOR,7,3,0,0,0
2025-26,Trinity Western,19,Jonny Grant,,DEF,6,5,0,0,0
2025-26,Trinity Western,30,Yeshua Silwamba,,GK,6,6,0,0,0
2025-26,Trinity Western,4,Zachary Stead,,FOR,5,-,0,0,0
2025-26,Trinity Western,10,Jordan Low,,MID,4,4,1,1,2
2025-26,Trinity Western,16,Jackson Van den Brink,,DEF,4,2,0,0,0
2025-26,Trinity Western,21,Gurshan Cheema,,MID,2,-,0,0,0
2025-26,Trinity Western,15,Karan Sidhu,,MID,2,-,0,0,0
2025-26,Saskatchewan,13,Tao Hein,,F,12,12,4,0,4
2025-26,Saskatchewan,9,Misgana Killoh,,F,12,12,0,1,1
2025-26,Saskatchewan,8,Malcolm Rektor,,CMF,12,12,1,0,1
2025-26,Saskatchewan,10,Ethan Cabral,,MF,11,11,3,0,3
2025-26,Saskatchewan,16,Alessandro Calado,,MF,11,11,0,1,1
2025-26,Saskatchewan,6,Jackson Kovitch,,MF,11,10,0,0,0
2025-26,Saskatchewan,5,Ty Lee,,MF,11,4,1,1,2
2025-26,Saskatchewan,7,Dante Molina,,CM,11,11,1,3,4
2025-26,Saskatchewan,17,Sergio Molina,,CDM/CB,11,11,0,0,0
2025-26,Saskatchewan,1,Jaron Slopinski,,GK,10,10,0,0,0
2025-26,Saskatchewan,4,Makariy Pryadko,,LB,9,8,1,0,1
2025-26,Saskatchewan,20,Kiran Baker,,ST,7,-,1,0,1
2025-26,Saskatchewan,3,Rowen Gresty,,CB,7,7,1,0,1
2025-26,Saskatchewan,12,Luke Mackie,,CB,6,6,0,0,0
2025-26,Saskatchewan,14,Emett Rocke,,F,5,1,0,0,0
2025-26,Saskatchewan,18,Aydin Wiebe,,FB,5,-,0,0,0
2025-26,Saskatchewan,2,Ryan Ko,,FB,4,2,0,0,0
2025-26,Saskatchewan,22,Kieran Behan,,GK,3,2,0,0,0
2025-26,Saskatchewan,24,Kobe Chilagan,,CDM,3,1,0,0,0
2025-26,Saskatchewan,19,Besufekad Tsedeke,,F,3,-,0,0,0
2025-26,Saskatchewan,15,Mateo Figueiredo,,CDM,1,-,0,0,0
2025-26,Saskatchewan,25,Olt Gashi,,LB,1,-,0,0,0
2025-26,Saskatchewan,11,Ilyich Gharahmadani,,F,1,1,0,0,0
2025-26,Saskatchewan,21,Jhoan Sanchez,,MF,1,-,0,0,0
2025-26,MacEwan,6,Azar El Khallaa,,M,12,12,0,0,0
2025-26,MacEwan,7,Felix Guite,,M,12,7,3,0,3
2025-26,MacEwan,19,T-boy Fayia,,D,11,11,1,0,1
2025-26,MacEwan,11,Macky Mahfouz,,F,11,11,1,0,1
2025-26,MacEwan,22,Oleksandr Popravka,,GK,11,11,0,1,1
2025-26,MacEwan,4,Lucio Rivera,,D,11,11,0,0,0
2025-26,MacEwan,27,Liam Van Laar,,D,11,10,0,0,0
2025-26,MacEwan,34,Philip Wutzl,,D,11,6,0,0,0
2025-26,MacEwan,8,Ali Yildiz,,M,11,11,2,2,4
2025-26,MacEwan,23,Nicolas Luczkiewicz,,M,10,7,1,2,3
2025-26,MacEwan,15,Abhiroop Sandhu,,M,10,10,1,0,1
2025-26,MacEwan,13,Jason Vuzi,,D,9,6,0,0,0
2025-26,MacEwan,33,Alain Sitchet,,F,8,4,1,1,2
2025-26,MacEwan,5,Jakob Sievert,,M,7,7,1,0,1
2025-26,MacEwan,24,Luther Feulefack,,M,6,2,0,0,0
2025-26,MacEwan,17,Daniel Mann,,F,5,1,0,0,0
2025-26,MacEwan,18,Miles Frett-Baptiste,,F,4,-,0,0,0
2025-26,MacEwan,10,Reno Nero,,F,4,2,0,0,0
2025-26,MacEwan,20,Adam Dasouki,,D,3,-,0,0,0
2025-26,MacEwan,2,Chance Carter,,M,2,2,0,0,0
2025-26,MacEwan,35,Kaleb Lutz,,GK,1,1,0,0,0
2025-26,UBCO,17,Gavin La Montagne,,F,14,8,1,1,2
2025-26,UBCO,1,Ronan Woodroffe,,GK,14,12,0,0,0
2025-26,UBCO,2,Aidan Young,,D,14,12,0,1,1
2025-26,UBCO,9,Oliver Deveau,,F,13,13,1,1,2
2025-26,UBCO,13,Alex Sol,,MF,13,13,0,0,0
2025-26,UBCO,10,Malachi Emerson,,MF,12,12,1,0,1
2025-26,UBCO,18,Charlie Prefontaine,,D,12,12,1,1,2
2025-26,UBCO,14,Allan Yin,,D,12,8,0,1,1
2025-26,UBCO,7,Dario Fedele,,F,11,10,1,0,1
2025-26,UBCO,23,Andrew Matsugu,,F,11,10,2,1,3
2025-26,UBCO,6,Varun Kothary,,MF,10,10,0,0,0
2025-26,UBCO,12,Jacobo Saenz Ramos,,MF,10,6,0,0,0
2025-26,UBCO,11,Jaise Shaw,,F,10,9,3,0,3
2025-26,UBCO,3,Matteo Clarke,,D,8,6,0,1,1
2025-26,UBCO,26,Theodore Zurowski,,MF,8,1,0,0,0
2025-26,UBCO,15,Jack Dilworth,,D,7,2,0,0,0
2025-26,UBCO,21,Murray Ogilvie,,MF,7,-,0,0,0
2025-26,UBCO,25,David Weinberg,,F,7,2,0,0,0
2025-26,UBCO,16,Eli Allen,,D,5,-,0,0,0
2025-26,UBCO,22,Carter Brown,,D,5,-,0,0,0
2025-26,UBCO,8,Sam Cote,,D,5,5,0,0,0
2025-26,UBCO,19,Namvinh Nguyen,,MF,5,1,0,0,0
2025-26,UBCO,5,Matthew Alexander,,D,3,-,0,0,0
2025-26,UBCO,35,Tyson Gugushe,,GK,2,2,0,0,0
2025-26,Thompson Rivers,27,Abdel Coulibaly,,D,14,14,3,2,5
2025-26,Thompson Rivers,4,Lewis Crompton,,M,14,14,0,0,0
2025-26,Thompson Rivers,11,Kaleb Voth,,M,14,11,0,0,0
2025-26,Thompson Rivers,26,Lachlan Will,,F,14,14,2,1,3
2025-26,Thompson Rivers,19,Marcus D'Andrea,,M,13,13,1,0,1
2025-26,Thompson Rivers,10,Minwoo Kang,,M,13,12,0,0,0
2025-26,Thompson Rivers,7,Ben Finley,,F,12,12,3,1,4
2025-26,Thompson Rivers,24,Liam Freathy,,D,12,5,0,0,0
2025-26,Thompson Rivers,9,Ryan Prasad,,F,12,-,0,1,1
2025-26,Thompson Rivers,3,Stephano Rettis-Martinez,,D,12,9,0,0,0
2025-26,Thompson Rivers,5,Sam Barazandeh,,D,11,5,0,1,1
2025-26,Thompson Rivers,2,Domenico Comita,,D,11,11,0,0,0
2025-26,Thompson Rivers,25,Matheus Lucas,,F,10,10,1,1,2
2025-26,Thompson Rivers,6,Lucas Rinaldi,,M,10,-,0,0,0
2025-26,Thompson Rivers,30,Toran Rutherford,,GK,8,7,0,0,0
2025-26,Thompson Rivers,28,Aren Christianson,,D,7,6,0,0,0
2025-26,Thompson Rivers,1,Luca Ortu,,GK,7,7,0,0,0
2025-26,Thompson Rivers,20,Tommy Moon,,M,6,-,0,0,0
2025-26,Thompson Rivers,13,Griffin Ansley,,M,3,-,0,0,0
2025-26,Thompson Rivers,8,Amir Ghasemi,,M,3,3,0,1,1
2025-26,Thompson Rivers,23,Sina Barazandeh,,M,2,-,0,0,0
2025-26,Thompson Rivers,21,Lucas Kirnon,,D,1,1,0,0,0
