season,team,number,player,year,position,gp,gs,goals,assists,points,year_num,year_std,position_zone,position_group
2023-24,alberta,20,kyler kaluzniak,Fr,D,1,1.0,0,0,0,1,1st,D,DEF
2023-24,lethbridge,19,nicholas bilodeau,,D,14,5.0,0,0,0,0,UNK,D,DEF
2023-24,lethbridge,2,damon field,,D,14,14.0,1,0,1,0,UNK,D,DEF
2023-24,lethbridge,3,ben gingras,,MF,14,2.0,0,0,0,0,UNK,MF,MID
2023-24,lethbridge,14,cole rosenlund,,MF,14,13.0,0,0,0,0,UNK,MF,MID
2023-24,lethbridge,20,kai sakaguchi,,F,14,14.0,3,0,3,0,UNK,F,FOR
2023-24,lethbridge,30,armaan thawer,,GK,14,14.0,0,0,0,0,UNK,GK,GK
2023-24,lethbridge,11,alasdair coyle,,MF,13,13.0,4,0,4,0,UNK,MF,MID
2023-24,lethbridge,17,david musk,,MF,13,3.0,0,0,0,0,UNK,MF,MID
2023-24,lethbridge,9,simon rolfson,,F,13,11.0,0,0,0,0,UNK,F,FOR
2023-24,lethbridge,22,jeremy dalla,,D,12,10.0,0,0,0,0,UNK,D,DEF
2023-24,lethbridge,8,will hughes,,D,12,11.0,6,5,11,0,UNK,D,DEF
2023-24,lethbridge,18,cole jackson,,F,12,3.0,0,0,0,0,UNK,F,FOR
2023-24,lethbridge,24,kyle szymanski,,D,12,5.0,0,0,0,0,UNK,D,DEF
2023-24,lethbridge,6,thomas denness,,D,11,9.0,0,0,0,0,UNK,D,DEF
2023-24,lethbridge,25,karim bachir,,MF,10,10.0,4,1,5,0,UNK,MF,MID
2023-24,lethbridge,23,tyrell cook,,F,10,3.0,0,0,0,0,UNK,F,FOR
2023-24,lethbridge,10,danilo morales,,F,10,7.0,1,0,1,0,UNK,F,FOR
2023-24,lethbridge,26,abraham efunbajo,,F,7,3.0,0,0,0,0,UNK,F,FOR
2023-24,lethbridge,27,ziad el hasumi,,D,6,1.0,0,0,0,0,UNK,D,DEF
2023-24,lethbridge,12,sam popowich,,F,3,1.0,0,0,0,0,UNK,F,FOR
2023-24,lethbridge,7,adam turner,,MF,3,0.0,0,0,0,0,UNK,MF,MID
2023-24,lethbridge,16,nathaniel riemer,,D,2,1.0,0,0,0,0,UNK,D,DEF
2023-24,lethbridge,21,cadel goertzen,,F,1,0.0,0,0,0,0,UNK,F,FOR
2023-24,trinity western,11,charles nana,JR,F,15,10.0,4,0,4,3,3rd,F,FOR
2023-24,trinity western,22,francis powell,JR,M,15,12.0,0,0,0,3,3rd,M,MID
2023-24,trinity western,10,thomas powell,JR,M,15,15.0,4,3,7,3,3rd,M,MID
2023-24,trinity western,21,luca alberti,JR,D,14,4.0,2,4,6,3,3rd,D,DEF
2023-24,trinity western,19,mario banovic,SO,D,14,14.0,1,1,2,2,2nd,D,DEF
2023-24,trinity western,5,adam hajdecki,JR,D,14,14.0,0,0,0,3,3rd,D,DEF
2023-24,trinity western,17,christian rossi,JR,F,14,8.0,1,2,3,3,3rd,F,FOR
2023-24,trinity western,8,xander roxburgh,JR,M,14,4.0,3,1,4,3,3rd,M,MID
2023-24,trinity western,6,joey seo,JR,M,14,10.0,0,2,2,3,3rd,M,MID
