goals,shots,sog,assists,player_count,avg_player_year,for,mid,G_mean,SH_mean,SOG_mean,A_mean,match_id,team,season,date,home_team,away_team,is_home,result,goal_diff,shot_diff,sog_diff,assist_diff,G_mean_diff,SH_mean_diff,SOG_mean_diff,A_mean_diff
0,10,4,0,15,,0.0,0.0,0.0,0.6666666666666666,0.2666666666666666,0.0,2024-25__sat-12__ubc__victoria,victoria,2024-25,sat. 12,ubc,victoria,0,draw,0,-7,-3,0,0.0,-0.33333333333333337,-0.14509803921568631,0.0
0,6,3,0,13,,0.0,0.0,0.0,0.4615384615384615,0.2307692307692307,0.0,2024-25__sat-14__thompson-rivers__mount-royal,mount-royal,2024-25,sat. 14,thompson rivers,mount royal,0,win,-3,-1,-2,-2,-0.2142857142857142,-0.03846153846153849,-0.1263736263736264,-0.1428571428571428
4,12,8,2,16,,0.0,0.0,0.25,0.75,0.5,0.125,2024-25__sat-14__ubc__alberta,alberta,2024-25,sat. 14,ubc,alberta,0,loss,3,7,6,1,0.16666666666666669,0.3333333333333333,0.33333333333333337,0.0416666666666667
3,11,6,3,14,,0.0,0.0,0.2142857142857142,0.7857142857142857,0.4285714285714285,0.2142857142857142,2024-25__sat-19__thompson-rivers__unbc,unbc,2024-25,sat. 19,thompson rivers,unbc,0,loss,2,4,2,2,0.1476190476190476,0.319047619047619,0.16190476190476188,0.1476190476190476
0,9,3,0,16,,0.0,0.0,0.0,0.5625,0.1875,0.0,2024-25__sat-19__trinity-western__ubc,ubc,2024-25,sat. 19,trinity western,ubc,0,win,-1,-4,-3,-1,-0.0625,-0.25,-0.1875,-0.0625
3,10,4,3,14,,0.0,0.0,0.2142857142857142,0.7142857142857143,0.2857142857142857,0.2142857142857142,2024-25__sat-21__alberta__trinity-western,trinity-western,2024-25,sat. 21,alberta,trinity western,0,loss,1,3,2,2,0.0714285714285714,0.2142857142857143,0.1428571428571429,0.1428571428571428
1,23,8,1,14,,0.0,0.0,0.0714285714285714,1.6428571428571428,0.5714285714285714,0.0714285714285714,2024-25__sat-21__calgary__thompson-rivers,thompson-rivers,2024-25,sat. 21,calgary,thompson rivers,0,draw,0,15,4,0,-0.005494505494505503,1.0274725274725274,0.2637362637362637,-0.005494505494505503
0,6,2,0,16,,0.0,0.0,0.0,0.375,0.125,0.0,2024-25__sat-21__lethbridge__victoria,victoria,2024-25,sat. 21,lethbridge,victoria,0,draw,0,-3,-1,0,0.0,-0.1875,-0.0625,0.0
1,12,6,1,13,,0.0,0.0,0.0769230769230769,0.9230769230769232,0.4615384615384615,0.0769230769230769,2024-25__sat-21__macewan__ufv,ufv,2024-25,sat. 21,macewan,ufv,0,win,-1,-3,0,-1,-0.056410256410256404,-0.07692307692307676,0.061538461538461486,-0.056410256410256404
3,14,5,3,17,,0.0,0.0,0.1764705882352941,0.8235294117647058,0.2941176470588235,0.1764705882352941,2024-25__sat-24__calgary__saskatchewan,saskatchewan,2024-25,sat. 24,calgary,saskatchewan,0,loss,3,5,2,3,0.1764705882352941,0.18067226890756294,0.0798319327731093,0.1764705882352941
0,9,2,0,16,,0.0,0.0,0.0,0.5625,0.125,0.0,2024-25__sat-24__mount-royal__lethbridge,lethbridge,2024-25,sat. 24,mount royal,lethbridge,0,draw,0,4,0,0,0.0,0.2683823529411765,0.007352941176470604,0.0
