match_id,season,team,date,home_team,away_team,is_home,result,shots_rolling3,sog_rolling3,assists_rolling3,player_count_rolling3,avg_player_year_rolling3,shots_form_diff,sog_form_diff,assists_form_diff,player_count_form_diff,avg_player_year_form_diff,win_rate_diff,win_rate_rolling5,player_count,for,mid
2023-24__wed-4__macewan__alberta,2023-24,alberta,wed. 4,macewan,alberta,0,win,8.333333333333334,4.0,0.0,16.333333333333332,2.6470588235294117,-2.666666666666666,-0.666666666666667,-2.0,0.33333333333333215,0.0,0.4,0.9,13,0.0,0.0
2023-24__fri-22__ubc__calgary,2023-24,calgary,fri. 22,ubc,calgary,0,loss,9.824561403508772,4.473684210526316,0.9868421052631577,15.605263157894735,2.6470588235294117,2.4912280701754392,1.473684210526316,0.3201754385964911,1.6052631578947345,-1.3529411764705883,-0.10460526315789465,0.562061403508772,15,0.0,0.0
2023-24__sat-14__macewan__calgary,2023-24,calgary,sat. 14,macewan,calgary,0,draw,12.0,5.0,1.0,15.0,2.6470588235294117,3.0,0.0,-1.0,-1.5,0.0,0.0,0.0,14,0.0,0.0
2023-24__sat-16__calgary__trinity-western,2023-24,calgary,sat. 16,calgary,trinity western,1,draw,12.5,5.5,2.5,14.5,2.6470588235294117,0.16666666666666607,-0.833333333333333,1.8333333333333335,-0.8333333333333339,0.0,-0.35,0.25,16,0.0,0.0
2023-24__sat-21__mount-royal__calgary,2023-24,calgary,sat. 21,mount royal,calgary,0,loss,10.666666666666666,4.666666666666667,2.0,15.0,2.6470588235294117,4.333333333333333,2.0000000000000004,2.0,0.6666666666666661,0.0,-0.6666666666666667,0.3333333333333333,15,0.0,0.0
2023-24__sat-23__victoria__calgary,2023-24,calgary,sat. 23,victoria,calgary,0,loss,11.0,5.0,1.6666666666666667,15.0,2.6470588235294117,2.0,1.3333333333333335,1.6666666666666667,-1.6666666666666679,2.6470588235294117,-0.44999999999999996,0.25,16,0.0,0.0
2023-24__sat-30__calgary__lethbridge,2023-24,calgary,sat. 30,calgary,lethbridge,1,win,10.333333333333334,5.666666666666667,1.0,15.666666666666666,2.6470588235294117,-3.666666666666666,0.3333333333333339,0.0,1.0,0.0,-0.39999999999999997,0.2,17,0.0,0.0
2023-24__sat-7__saskatchewan__calgary,2023-24,calgary,sat. 7,saskatchewan,calgary,0,win,11.666666666666666,5.333333333333333,0.6666666666666666,16.0,2.6470588235294117,-1.0,-1.666666666666667,-1.0,2.0,0.0,0.10000000000000003,0.4,14,0.0,0.0
2023-24__sat-9__calgary__alberta,2023-24,calgary,sat. 9,calgary,alberta,1,loss,12.666666666666666,5.666666666666667,0.6666666666666666,15.666666666666666,2.6470588235294117,1.3333333333333321,1.0,0.3333333333333333,0.33333333333333215,0.0,0.0,0.5,14,0.0,0.0
2023-24__sun-1__calgary__saskatchewan,2023-24,calgary,sun. 1,calgary,saskatchewan,1,win,14.0,5.0,0.3333333333333333,15.0,2.6470588235294117,2.666666666666666,-2.0,-0.6666666666666667,0.0,0.0,0.4,0.4,17,0.0,0.0
