season,team,number,player,year,position,gp,gs,goals,assists,points
2023-24,Mount Royal,4,Ethan Keen,,D,13,12.0,0,1,1
2023-24,Mount Royal,28,Nikolas Meyer,,F,13,13.0,2,2,4
2023-24,Mount Royal,5,Caden Rogozinski,,D,13,13.0,0,0,0
2023-24,Mount Royal,18,Mowbray Beghin,,F,12,0.0,1,0,1
2023-24,Mount Royal,9,Dawid Dudek,,F,12,1.0,1,0,1
2023-24,Mount Royal,8,Nikolas Myroniuk,,M,12,12.0,4,0,4
2023-24,Mount Royal,14,Abel Nesibu,,D,12,10.0,1,3,4
2023-24,Mount Royal,10,Jonathan Walter,,M,12,11.0,1,1,2
2023-24,Mount Royal,26,Alex Kemsley,,D,11,10.0,0,1,1
2023-24,Mount Royal,15,Hyunsoo Ryu,,D,8,2.0,0,0,0
2023-24,Mount Royal,3,Finn Marshall,,F,6,0.0,0,0,0
2023-24,Mount Royal,6,Benedikt Mehl,,M,5,3.0,0,0,0
2023-24,Mount Royal,19,Wyatt Davis,,D,4,0.0,0,0,0
2023-24,Mount Royal,20,Miguel Da Rocha,,M,3,1.0,1,0,1
2023-24,Alberta,11,Habib Assem,So,F,13,5.0,3,0,3
2023-24,Alberta,3,Joel Martins-Correia,So,D,13,12.0,0,2,2
2023-24,Alberta,27,Adam Parker,Jr,F,13,13.0,0,0,0
2023-24,Alberta,9,Marcus Velado-Tsegaye,2nd,F,13,13.0,4,2,6
2023-24,Alberta,14,Rodane Cato,Jr,MID,12,12.0,0,0,0
2023-24,Alberta,1,Chris Ezoua,Sr,GK,12,12.0,0,0,0
2023-24,Alberta,8,Thomas Hope,So,D,12,12.0,0,0,0
2023-24,Alberta,10,Rilind Idrizi,Jr,MID,12,12.0,2,4,6
2023-24,Alberta,16,Prince Amanda,So,F,11,11.0,3,0,3
2023-24,Alberta,6,Jake Bosch,Jr,MID,11,11.0,0,1,1
2023-24,Alberta,12,Eric Gehlert,Jr,D,11,11.0,0,1,1
2023-24,Alberta,18,Jackson Belbin,Fr,D,10,2.0,0,0,0
2023-24,Alberta,17,Frankroy Cain,Fr,F,10,4.0,2,0,2
2023-24,Alberta,23,David Chung,Jr,MID,10,7.0,1,1,2
2023-24,Alberta,4,Patrick Kondraciuk,Fr,D,6,2.0,0,0,0
2023-24,Alberta,2,Dylan Marple,Fr,D,5,1.0,0,0,0
2023-24,Alberta,19,Raqeeb Popoola,Jr,F,3,1.0,0,0,0
2023-24,Alberta,21,Liam Collens,Jr,GK,1,1.0,0,0,0
2023-24,Alberta,30,Alex Dorscheid,Jr,GK,1,0.0,0,0,0
2023-24,Alberta,20,Kyler Kaluzniak,Fr,D,1,1.0,0,0,0
2023-24,Lethbridge,19,Nicholas Bilodeau,,D,14,5.0,0,0,0
2023-24,Lethbridge,2,Damon Field,,D,14,14.0,1,0,1
2023-24,Lethbridge,3,Ben Gingras,,MF,14,2.0,0,0,0
